行番号	CCCCC~00000~クラス名	CCCCC~00001~定数名	MMMMM~00000~クラス名	MMMMM~00001~アクセス修飾子	MMMMM~00002~戻り値の型	MMMMM~00003~メソッド名	MMMMM~00004~可変長引数があるか	MMMMM~00005~引数の個数	MMMMM~00006~型パラメータリスト	MMMMM~00007~型パラメータ記号リスト	MMMMM~00008~引数の型リスト	MMMMM~00009~仮引数の変数名リスト
MeCab.jar~00001~00001___00001			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_PARTIAL_get	false	0				
MeCab.jar~00001~00002___00002			org.chasen.mecab.MeCabJNI	public static final native	long	Lattice_begin_nodes	false	3			long,org.chasen.mecab.Lattice,long	arg0,arg1,arg2
MeCab.jar~00001~00003___00003			org.chasen.mecab.MeCabJNI	public static final native	boolean	Tagger_partial	false	2			long,org.chasen.mecab.Tagger	arg0,arg1
MeCab.jar~00001~00004___00004			org.chasen.mecab.MeCabJNI	public static final native	long	new_Tagger__SWIG_0	false	1			java.lang.String	arg0
MeCab.jar~00001~00005___00005			org.chasen.mecab.MeCabJNI	public static final native	long	new_Tagger__SWIG_1	false	0				
MeCab.jar~00001~00006___00006			org.chasen.mecab.MeCabJNI	public static final native	long	DictionaryInfo_size_get	false	2			long,org.chasen.mecab.DictionaryInfo	arg0,arg1
MeCab.jar~00001~00007___00007			org.chasen.mecab.MeCabJNI	public static final native	void	delete_Model	false	1			long	arg0
MeCab.jar~00001~00008___00008			org.chasen.mecab.MeCabJNI	public static final native	long	Node_prev_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00009___00009			org.chasen.mecab.MeCabJNI	public static final native	long	Node_lpath_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00010___00010			org.chasen.mecab.MeCabJNI	public static final native	long	Model_createTagger	false	2			long,org.chasen.mecab.Model	arg0,arg1
MeCab.jar~00001~00011___00011			org.chasen.mecab.MeCabJNI	public static final native	short	Node_char_type_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00012___00012			org.chasen.mecab.MeCabJNI	public static final native	long	Lattice_end_nodes	false	3			long,org.chasen.mecab.Lattice,long	arg0,arg1,arg2
MeCab.jar~00001~00013___00013			org.chasen.mecab.MeCabJNI	public static final native	float	Lattice_theta	false	2			long,org.chasen.mecab.Lattice	arg0,arg1
MeCab.jar~00001~00014___00014			org.chasen.mecab.MeCabJNI	public static final native	void	Lattice_set_feature_constraint	false	5			long,org.chasen.mecab.Lattice,long,long,java.lang.String	arg0,arg1,arg2,arg3,arg4
MeCab.jar~00001~00015___00015			org.chasen.mecab.MeCabJNI	public static final native	long	Tagger_parseToNode	false	3			long,org.chasen.mecab.Tagger,java.lang.String	arg0,arg1,arg2
MeCab.jar~00001~00016___00016			org.chasen.mecab.MeCabJNI	public static final native	void	Lattice_set_result	false	3			long,org.chasen.mecab.Lattice,java.lang.String	arg0,arg1,arg2
MeCab.jar~00001~00017___00017			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_SYS_DIC_get	false	0				
MeCab.jar~00001~00018___00018			org.chasen.mecab.MeCabJNI	public static final native	void	Lattice_set_Z	false	3			long,org.chasen.mecab.Lattice,double	arg0,arg1,arg2
MeCab.jar~00001~00019___00019			org.chasen.mecab.MeCabJNI	public static final native	long	Tagger_dictionary_info	false	2			long,org.chasen.mecab.Tagger	arg0,arg1
MeCab.jar~00001~00020___00020			org.chasen.mecab.MeCabJNI	public static final native	boolean	Lattice_is_available	false	2			long,org.chasen.mecab.Lattice	arg0,arg1
MeCab.jar~00001~00021___00021			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Lattice_enumNBestAsString	false	3			long,org.chasen.mecab.Lattice,long	arg0,arg1,arg2
MeCab.jar~00001~00022___00022			org.chasen.mecab.MeCabJNI	public static final native	void	Lattice_set_what	false	3			long,org.chasen.mecab.Lattice,java.lang.String	arg0,arg1,arg2
MeCab.jar~00001~00023___00023			org.chasen.mecab.MeCabJNI	public static final native	long	DictionaryInfo_lsize_get	false	2			long,org.chasen.mecab.DictionaryInfo	arg0,arg1
MeCab.jar~00001~00024___00024			org.chasen.mecab.MeCabJNI	public static final native	boolean	Tagger_parseNBestInit	false	3			long,org.chasen.mecab.Tagger,java.lang.String	arg0,arg1,arg2
MeCab.jar~00001~00025___00025			org.chasen.mecab.MeCabJNI	public static final native	long	Lattice_eos_node	false	2			long,org.chasen.mecab.Lattice	arg0,arg1
MeCab.jar~00001~00026___00026			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_INSIDE_TOKEN_get	false	0				
MeCab.jar~00001~00027___00027			org.chasen.mecab.MeCabJNI	public static final native	short	Node_stat_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00028___00028			org.chasen.mecab.MeCabJNI	public native	int	hashCode	false	0				
MeCab.jar~00001~00029___00029			org.chasen.mecab.MeCabJNI	public static final native	void	Node_prob_set	false	3			long,org.chasen.mecab.Node,float	arg0,arg1,arg2
MeCab.jar~00001~00030___00030			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	DictionaryInfo_charset_get	false	2			long,org.chasen.mecab.DictionaryInfo	arg0,arg1
MeCab.jar~00001~00031___00031			org.chasen.mecab.MeCabJNI	public static final native	float	Node_prob_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00032___00032			org.chasen.mecab.MeCabJNI	public static final native	boolean	Model_swap	false	4			long,org.chasen.mecab.Model,long,org.chasen.mecab.Model	arg0,arg1,arg2,arg3
MeCab.jar~00001~00033___00033			org.chasen.mecab.MeCabJNI	public static final native	void	Tagger_set_all_morphs	false	3			long,org.chasen.mecab.Tagger,boolean	arg0,arg1,arg2
MeCab.jar~00001~00034___00034			org.chasen.mecab.MeCabJNI	public static final native	void	delete_Tagger	false	1			long	arg0
MeCab.jar~00001~00035___00035			org.chasen.mecab.MeCabJNI	public static final native	int	Path_cost_get	false	2			long,org.chasen.mecab.Path	arg0,arg1
MeCab.jar~00001~00036___00036			org.chasen.mecab.MeCabJNI	public final native	void	notifyAll	false	0				
MeCab.jar~00001~00037___00037			org.chasen.mecab.MeCabJNI	public static final native	int	Node_rlength_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00038___00038			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Lattice_feature_constraint	false	3			long,org.chasen.mecab.Lattice,long	arg0,arg1,arg2
MeCab.jar~00001~00039___00039			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_ALL_MORPHS_get	false	0				
MeCab.jar~00001~00040___00040			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	VERSION_get	false	0				
MeCab.jar~00001~00041___00041			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_ONE_BEST_get	false	0				
MeCab.jar~00001~00042___00042			org.chasen.mecab.MeCabJNI	public static final native	int	Lattice_boundary_constraint	false	3			long,org.chasen.mecab.Lattice,long	arg0,arg1,arg2
MeCab.jar~00001~00043___00043			org.chasen.mecab.MeCabJNI	public static final native	long	new_Model__SWIG_0	false	1			java.lang.String	arg0
MeCab.jar~00001~00044___00044			org.chasen.mecab.MeCabJNI	public static final native	long	new_Model__SWIG_1	false	0				
MeCab.jar~00001~00045___00045			org.chasen.mecab.MeCabJNI	public static final native	int	Node_cost_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00046___00046			org.chasen.mecab.MeCabJNI	public static final native	short	Node_isbest_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00047___00047			org.chasen.mecab.MeCabJNI	public static final native	void	Lattice_set_theta	false	3			long,org.chasen.mecab.Lattice,float	arg0,arg1,arg2
MeCab.jar~00001~00048___00048			org.chasen.mecab.MeCabJNI	public static final native	long	Model_dictionary_info	false	2			long,org.chasen.mecab.Model	arg0,arg1
MeCab.jar~00001~00049___00049			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	DictionaryInfo_filename_get	false	2			long,org.chasen.mecab.DictionaryInfo	arg0,arg1
MeCab.jar~00001~00050___00050			org.chasen.mecab.MeCabJNI	public static final native	boolean	Lattice_next	false	2			long,org.chasen.mecab.Lattice	arg0,arg1
MeCab.jar~00001~00051___00051			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Tagger_formatNode	false	4			long,org.chasen.mecab.Tagger,long,org.chasen.mecab.Node	arg0,arg1,arg2,arg3
MeCab.jar~00001~00052___00052			org.chasen.mecab.MeCabJNI	public static final native	long	Model_lookup	false	6			long,org.chasen.mecab.Model,java.lang.String,java.lang.String,long,org.chasen.mecab.Lattice	arg0,arg1,arg2,arg3,arg4,arg5
MeCab.jar~00001~00053___00053			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_UNK_NODE_get	false	0				
MeCab.jar~00001~00054___00054			org.chasen.mecab.MeCabJNI	public static final native	float	Node_beta_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00055___00055			org.chasen.mecab.MeCabJNI	public static final native	double	Lattice_Z	false	2			long,org.chasen.mecab.Lattice	arg0,arg1
MeCab.jar~00001~00056___00056			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_EOS_NODE_get	false	0				
MeCab.jar~00001~00057___00057			org.chasen.mecab.MeCabJNI	public static final native	int	Tagger_lattice_level	false	2			long,org.chasen.mecab.Tagger	arg0,arg1
MeCab.jar~00001~00058___00058			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Tagger_parse__SWIG_2	false	3			long,org.chasen.mecab.Tagger,java.lang.String	arg0,arg1,arg2
MeCab.jar~00001~00059___00059			org.chasen.mecab.MeCabJNI	public static final native	boolean	Tagger_all_morphs	false	2			long,org.chasen.mecab.Tagger	arg0,arg1
MeCab.jar~00001~00060___00060			org.chasen.mecab.MeCabJNI	public static final native	int	Model_transition_cost	false	4			long,org.chasen.mecab.Model,int,int	arg0,arg1,arg2,arg3
MeCab.jar~00001~00061___00061			org.chasen.mecab.MeCabJNI	public static final native	boolean	Tagger_parse__SWIG_1	false	4			long,org.chasen.mecab.Tagger,long,org.chasen.mecab.Lattice	arg0,arg1,arg2,arg3
MeCab.jar~00001~00062___00062			org.chasen.mecab.MeCabJNI	public static final native	void	Lattice_set_boundary_constraint	false	4			long,org.chasen.mecab.Lattice,long,int	arg0,arg1,arg2,arg3
MeCab.jar~00001~00063___00063			org.chasen.mecab.MeCabJNI	public static final native	boolean	Tagger_parse__SWIG_0	false	4			long,org.chasen.mecab.Model,long,org.chasen.mecab.Lattice	arg0,arg1,arg2,arg3
MeCab.jar~00001~00064___00064			org.chasen.mecab.MeCabJNI	public static final native	long	Node_next_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00065___00065			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Lattice_what	false	2			long,org.chasen.mecab.Lattice	arg0,arg1
MeCab.jar~00001~00066___00066			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_ANY_BOUNDARY_get	false	0				
MeCab.jar~00001~00067___00067			org.chasen.mecab.MeCabJNI	public static final native	void	Path_prob_set	false	3			long,org.chasen.mecab.Path,float	arg0,arg1,arg2
MeCab.jar~00001~00068___00068			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Node_surface_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00069___00069			org.chasen.mecab.MeCabJNI	public static final native	void	Tagger_set_request_type	false	3			long,org.chasen.mecab.Tagger,int	arg0,arg1,arg2
MeCab.jar~00001~00070___00070			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_NOR_NODE_get	false	0				
MeCab.jar~00001~00071___00071			org.chasen.mecab.MeCabJNI	public static final native	int	DictionaryInfo_type_get	false	2			long,org.chasen.mecab.DictionaryInfo	arg0,arg1
MeCab.jar~00001~00072___00072			org.chasen.mecab.MeCabJNI	public static final native	long	new_DictionaryInfo	false	0				
MeCab.jar~00001~00073___00073			org.chasen.mecab.MeCabJNI	public static final native	float	Path_prob_get	false	2			long,org.chasen.mecab.Path	arg0,arg1
MeCab.jar~00001~00074___00074			org.chasen.mecab.MeCabJNI	public static final native	long	Path_rnext_get	false	2			long,org.chasen.mecab.Path	arg0,arg1
MeCab.jar~00001~00075___00075			org.chasen.mecab.MeCabJNI	public static final native	int	DictionaryInfo_version_get	false	2			long,org.chasen.mecab.DictionaryInfo	arg0,arg1
MeCab.jar~00001~00076___00076			org.chasen.mecab.MeCabJNI	public static final native	long	DictionaryInfo_next_get	false	2			long,org.chasen.mecab.DictionaryInfo	arg0,arg1
MeCab.jar~00001~00077___00077			org.chasen.mecab.MeCabJNI	public static final native	long	Tagger_create__SWIG_0	false	2			int,long	arg0,arg1
MeCab.jar~00001~00078___00078			org.chasen.mecab.MeCabJNI	public static final native	long	Tagger_create__SWIG_1	false	1			java.lang.String	arg0
MeCab.jar~00001~00079___00079			org.chasen.mecab.MeCabJNI	public final native	java.lang.Class<?>	getClass	false	0				
MeCab.jar~00001~00080___00080			org.chasen.mecab.MeCabJNI	public static final native	long	Model_createLattice	false	2			long,org.chasen.mecab.Model	arg0,arg1
MeCab.jar~00001~00081___00081			org.chasen.mecab.MeCabJNI	public static final native	void	Tagger_set_lattice_level	false	3			long,org.chasen.mecab.Tagger,int	arg0,arg1,arg2
MeCab.jar~00001~00082___00082			org.chasen.mecab.MeCabJNI	public	java.lang.String	toString	false	0				
MeCab.jar~00001~00083___00083			org.chasen.mecab.MeCabJNI	public static final native	void	Lattice_remove_request_type	false	3			long,org.chasen.mecab.Lattice,int	arg0,arg1,arg2
MeCab.jar~00001~00084___00084			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Tagger_parseNBest	false	4			long,org.chasen.mecab.Tagger,long,java.lang.String	arg0,arg1,arg2,arg3
MeCab.jar~00001~00085___00085			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_BOS_NODE_get	false	0				
MeCab.jar~00001~00086___00086			org.chasen.mecab.MeCabJNI	public static final native	float	Node_alpha_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00087___00087			org.chasen.mecab.MeCabJNI	public static final native	long	Path_lnode_get	false	2			long,org.chasen.mecab.Path	arg0,arg1
MeCab.jar~00001~00088___00088			org.chasen.mecab.MeCabJNI	public	boolean	equals	false	1			java.lang.Object	arg0
MeCab.jar~00001~00089___00089			org.chasen.mecab.MeCabJNI	public static final native	long	DictionaryInfo_rsize_get	false	2			long,org.chasen.mecab.DictionaryInfo	arg0,arg1
MeCab.jar~00001~00090___00090			org.chasen.mecab.MeCabJNI	public static final native	int	Node_length_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00091___00091			org.chasen.mecab.MeCabJNI	public static final native	long	new_Lattice	false	0				
MeCab.jar~00001~00092___00092			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Tagger_parseToString__SWIG_1	false	3			long,org.chasen.mecab.Tagger,java.lang.String	arg0,arg1,arg2
MeCab.jar~00001~00093___00093			org.chasen.mecab.MeCabJNI	public static final native	long	Node_bnext_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00094___00094			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Tagger_parseToString__SWIG_0	false	4			long,org.chasen.mecab.Tagger,java.lang.String,long	arg0,arg1,arg2,arg3
MeCab.jar~00001~00095___00095			org.chasen.mecab.MeCabJNI	public static final native	long	Tagger_nextNode	false	2			long,org.chasen.mecab.Tagger	arg0,arg1
MeCab.jar~00001~00096___00096			org.chasen.mecab.MeCabJNI	public static final native	long	Lattice_size	false	2			long,org.chasen.mecab.Lattice	arg0,arg1
MeCab.jar~00001~00097___00097			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Tagger_version	false	0				
MeCab.jar~00001~00098___00098			org.chasen.mecab.MeCabJNI	public static final native	long	Lattice_newNode	false	2			long,org.chasen.mecab.Lattice	arg0,arg1
MeCab.jar~00001~00099___00099			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_USR_DIC_get	false	0				
MeCab.jar~00001~00100___00100			org.chasen.mecab.MeCabJNI	public static final native	void	Lattice_set_request_type	false	3			long,org.chasen.mecab.Lattice,int	arg0,arg1,arg2
MeCab.jar~00001~00101___00101			org.chasen.mecab.MeCabJNI	public static final native	void	Lattice_set_sentence	false	3			long,org.chasen.mecab.Lattice,java.lang.String	arg0,arg1,arg2
MeCab.jar~00001~00102___00102			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_EON_NODE_get	false	0				
MeCab.jar~00001~00103___00103			org.chasen.mecab.MeCabJNI	public static final native	int	Lattice_request_type	false	2			long,org.chasen.mecab.Lattice	arg0,arg1
MeCab.jar~00001~00104___00104			org.chasen.mecab.MeCabJNI	public final native	void	notify	false	0				
MeCab.jar~00001~00105___00105			org.chasen.mecab.MeCabJNI	public final native	void	wait	false	1			long	arg0
MeCab.jar~00001~00106___00106			org.chasen.mecab.MeCabJNI	public final	void	wait	false	2			long,int	arg0,arg1
MeCab.jar~00001~00107___00107			org.chasen.mecab.MeCabJNI	public final	void	wait	false	0				
MeCab.jar~00001~00108___00108			org.chasen.mecab.MeCabJNI	public static final native	void	delete_Lattice	false	1			long	arg0
MeCab.jar~00001~00109___00109			org.chasen.mecab.MeCabJNI	public static final native	long	Lattice_bos_node	false	2			long,org.chasen.mecab.Lattice	arg0,arg1
MeCab.jar~00001~00110___00110			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_ALLOCATE_SENTENCE_get	false	0				
MeCab.jar~00001~00111___00111			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Tagger_next	false	2			long,org.chasen.mecab.Tagger	arg0,arg1
MeCab.jar~00001~00112___00112			org.chasen.mecab.MeCabJNI	public static final native	int	Node_posid_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00113___00113			org.chasen.mecab.MeCabJNI	public static final native	int	Tagger_request_type	false	2			long,org.chasen.mecab.Tagger	arg0,arg1
MeCab.jar~00001~00114___00114			org.chasen.mecab.MeCabJNI	public static final native	long	Model_create__SWIG_1	false	1			java.lang.String	arg0
MeCab.jar~00001~00115___00115			org.chasen.mecab.MeCabJNI	public static final native	long	Model_create__SWIG_0	false	2			int,long	arg0,arg1
MeCab.jar~00001~00116___00116			org.chasen.mecab.MeCabJNI	public static final native	void	Lattice_clear	false	2			long,org.chasen.mecab.Lattice	arg0,arg1
MeCab.jar~00001~00117___00117			org.chasen.mecab.MeCabJNI	public static final native	long	Node_enext_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00118___00118			org.chasen.mecab.MeCabJNI	public static final native	short	Node_wcost_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00119___00119			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_TOKEN_BOUNDARY_get	false	0				
MeCab.jar~00001~00120___00120			org.chasen.mecab.MeCabJNI	public static final native	void	Tagger_set_theta	false	3			long,org.chasen.mecab.Tagger,float	arg0,arg1,arg2
MeCab.jar~00001~00121___00121			org.chasen.mecab.MeCabJNI	public static final native	boolean	Lattice_has_request_type	false	3			long,org.chasen.mecab.Lattice,int	arg0,arg1,arg2
MeCab.jar~00001~00122___00122			org.chasen.mecab.MeCabJNI	public static final native	int	Node_lcAttr_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00123___00123			org.chasen.mecab.MeCabJNI	public static final native	int	Node_rcAttr_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00124___00124			org.chasen.mecab.MeCabJNI	public static final native	void	Lattice_add_request_type	false	3			long,org.chasen.mecab.Lattice,int	arg0,arg1,arg2
MeCab.jar~00001~00125___00125			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Lattice_sentence	false	2			long,org.chasen.mecab.Lattice	arg0,arg1
MeCab.jar~00001~00126___00126			org.chasen.mecab.MeCabJNI	public static final native	float	Tagger_theta	false	2			long,org.chasen.mecab.Tagger	arg0,arg1
MeCab.jar~00001~00127___00127			org.chasen.mecab.MeCabJNI	public static final native	boolean	Lattice_has_constraint	false	2			long,org.chasen.mecab.Lattice	arg0,arg1
MeCab.jar~00001~00128___00128			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Node_feature_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00129___00129			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_ALTERNATIVE_get	false	0				
MeCab.jar~00001~00130___00130			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_NBEST_get	false	0				
MeCab.jar~00001~00131___00131			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_MARGINAL_PROB_get	false	0				
MeCab.jar~00001~00132___00132			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Lattice_toString__SWIG_0	false	2			long,org.chasen.mecab.Lattice	arg0,arg1
MeCab.jar~00001~00133___00133			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Lattice_toString__SWIG_1	false	4			long,org.chasen.mecab.Lattice,long,org.chasen.mecab.Node	arg0,arg1,arg2,arg3
MeCab.jar~00001~00134___00134			org.chasen.mecab.MeCabJNI	public static final native	long	Path_rnode_get	false	2			long,org.chasen.mecab.Path	arg0,arg1
MeCab.jar~00001~00135___00135			org.chasen.mecab.MeCabJNI	public static final native	long	Path_lnext_get	false	2			long,org.chasen.mecab.Path	arg0,arg1
MeCab.jar~00001~00136___00136			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Tagger_what	false	2			long,org.chasen.mecab.Tagger	arg0,arg1
MeCab.jar~00001~00137___00137			org.chasen.mecab.MeCabJNI	public static final native	long	Node_rpath_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00138___00138			org.chasen.mecab.MeCabJNI	public static final native	void	Tagger_set_partial	false	3			long,org.chasen.mecab.Tagger,boolean	arg0,arg1,arg2
MeCab.jar~00001~00139___00139			org.chasen.mecab.MeCabJNI	public static final native	java.lang.String	Model_version	false	0				
MeCab.jar~00001~00140___00140			org.chasen.mecab.MeCabJNI	public static final native	long	Node_id_get	false	2			long,org.chasen.mecab.Node	arg0,arg1
MeCab.jar~00001~00141___00141			org.chasen.mecab.MeCabJNI	public static final native	void	delete_DictionaryInfo	false	1			long	arg0
MeCab.jar~00001~00142___00142			org.chasen.mecab.MeCabJNI	public static final native	int	MECAB_UNK_DIC_get	false	0				
MeCab.jar~00002~00001___00143			org.chasen.mecab.Model	public	java.lang.String	toString	false	0				
MeCab.jar~00002~00002___00144			org.chasen.mecab.Model	public	boolean	swap	false	1			org.chasen.mecab.Model	arg0
MeCab.jar~00002~00003___00145			org.chasen.mecab.Model	public	org.chasen.mecab.Node	lookup	false	3			java.lang.String,java.lang.String,org.chasen.mecab.Lattice	arg0,arg1,arg2
